zts1e	Nouveau objet
zts532e	Bracelet oeil de chat ancestral
zts533e	Collier précieux d'oeil de chat
zts534e	Bague Oeil de Chat précieuse
zts535e	Bracelet oeil de chat précieux
zts536e	Collier Oeil de Chat luxueux
zts537e	Bracelet oeil de chat luxueux
zts538e	Collier en cristal
zts539e	Bague en cristal
zts540e	Bracelet en cristal
zts541e	Bracelet précieux en cristal
zts542e	Bague précieuse en cristal
zts543e	Bracelet précieux en cristal
zts544e	Bague en cristal luxurieuse
zts545e	Bracelet en cristal luxueux
zts546e	Collier à diamant
zts547e	Bague à diamant
zts548e	Bracelet à diamants
zts549e	Bon collier à diamant
zts550e	Bonne bague à diamant
zts551e	Bon bracelet à diamant
zts552e	Collier à diamant luxueux
zts553e	Bague à diamant luxurieuse
zts554e	Bracelet à diamant luxueux
zts555e	Gants légers
zts556e	Ces gants ont beau être légers, ils sont aussi très résistants et améliorent légèrement l'esquive.[n][n]
zts557e	Gants en soie
zts558e	Ces gants soyeux et luxueux sont imprégnés de magie.[n]La force d'attaque magique augmente.[n][n]
zts559e	Gants magiques
zts560e	Cet objet possédé par un esprit magique augmente les MP.[n][n]
zts561e	Gant léger
zts562e	Offre une plus haute protection que les autres gants lors des combats rapprochés.[n][n]
zts563e	Gants rapides
zts564e	N´a aucune résistance contre l´air [n][n]
zts565e	Gants de bataille
zts566e	Leur force de défense d'attaque rapprochée est supérieure à celle des gants classiques.[n][n]
zts567e	Gants de chaine
zts568e	Cet objet est largement plébiscité par les Épéistes.[n][n]
zts569e	Gants d'éclair
zts570e	Bottes légères
zts571e	Bottes légères couvrant les chevilles [n][n]
zts572e	Chaussures rapides
zts573e	Augmente ta rapidité seulement sans pouvoir de défense
zts574e	Bottes enchaînées
zts575e	Bottes possédant un bon pouvoir de défense. [n][n]
zts576e	Bottes en peau
zts577e	Cet objet fabriqué à partir de la peau d'un diable ancestral[n]absorbe les attaques magiques.[n][n]
zts578e	Bottes en acier
zts579e	Bottes de protection
zts580e	Bottes du vent
zts581e	Bottes de métal lourd
zts582e	Maniques
zts583e	Cet objet protège tes mains des objets chauds.[n][n]
zts584e	Gants brillants
zts585e	Tu es sous la protection de l'esprit de la Lumière.[n][n]
zts586e	Gants du vent
zts587e	Tu as l'impression qu'un légère brise souffle sur tes mains.[n]Cet objet renferme le pouvoir de l'esquive.[n][n]
zts588e	Gants de résistance
zts589e	Gants de l'Obscurité
zts590e	Cet objet est imprégné d'une énergie obscure.[n][n]
zts591e	Chaussures noires
zts592e	Chaussures de l'Eau
zts593e	Cet objet accorde plus de résistance à l'Eau.[n][n]
zts594e	Bottes punks
zts595e	Cet objet est imprégné de l'énergie de la Lumière.[n][n]
zts596e	Bottes à flammes
zts597e	Cet objet est imprégné de l'énergie du Feu.[n][n]
zts598e	Bottes abyssales
zts599e	Cet objet est imprégné d'une énergie obscure qui augmente la résistance à la Lumière.[n][n]
zts600e	Fée du Feu
zts601e	[Compétence de l'élément de la fée] Plus longtemps tu portes la fée pendant une bataille, plus la compétence de l'élément de la fée augmente puissamment. [n] Le pouvoir de l'élément est le pouvoir d'attaque supplémentaire [n] et ajoute le % de la compétence de l'élément au pouvoir d'attaque du joueur. [n][n]
zts602e	Fée de l'Eau
zts603e	Fée de la Lumière
zts604e	Fée de l'Obscurité
zts605e	Carte pyjama
zts606e	Hé !! Profitons de la vie. [n]Pourquoi s'inquiéter? Profites-en simplement.[n][n]
zts607e	Carte guerrier
zts608e	Carte de spécialiste : élément Feu[n][n]Avec le pouvoir de l'épée, tu domines le champ de bataille.[n]Les techniques de combat enflammées de cet Épéiste audacieux écrase les puissants adversaires en attaque rapprochée.[n][n]
zts609e	Carte de lame
zts610e	Carte de spécialiste : élément Eau[n][n]Les yeux de cet épéiste sont emplis de haine.[n]Quiconque croise le chemin de ce puissant guerrier devra en découdre avec sa lame redoutable.[n][n]
zts611e	Carte de ranger
zts612e	Carte de spécialiste : élément Eau[n][n]Il ouvre le combat par une pluie de flèches mortelles sur son adversaire.[n]En raison de sa vitesse exceptionnelle, l'ennemi n'a même pas le temps de voir l'attaque arriver.[n][n]
zts613e	Carte d'assassin
zts614e	Carte de spécialiste : élément Obscurité[n]Derrière le masque se cache un terrible guerrier aussi sanguinaire que dangereux. Ses adversaires ne devraient jamais le quitter des yeux.[n][n]
zts615e	Carte de spécialiste du Mage du feu
zts616e	Carte de spécialiste : élément Feu[n][n]Ces mages arborent le symbole de la destruction et de la ruine.[n]Ils tiennent leur force destructrice des puissantes conjurations du Feu.[n][n]
zts617e	Mage sacré SP
zts618e	élément de lumière/carte de spécialiste de puissance de lumière[n][n]Le protecteur de la lumière, l´ordre et la balance. [n] Ce magicien sage respecte le vouloir d´Erenia. [n][n]
zts619e	Arme proche pour partenaire
zts620e	Arme lointaine pour partenaire
zts621e	Baguette magique du partenaire
zts622e	Armure pour partenaire (magie)
zts623e	Armure pour partenaire (combat à distance)
zts624e	Armure pour partenaire (combat rapproché)
zts625e	Levier (inactif)
zts626e	Vieille boîte
zts627e	Petite potion HP
zts628e	Guérit le joueur et le NosMate[n][n]
zts629e	Moyenne potion HP
zts630e	Grande potion HP
zts631e	Petite potion MP
zts632e	Moyenne potion MP
zts633e	Grande potion MP
zts634e	Petite potion entière
zts635e	Potion de récupération moyenne
zts636e	Grande potion de récupération
zts637e	Potion de récupération géante
zts638e	Graine de pouvoir
zts639e	Cet objet peut être utilisé dans les situations suivantes :[n]1. Pour retourner au lieu du décès après avoir été ramené à la vie (10 graines de pouvoir)[n]2. Pour entrer dans un espace-temps (nombre indiqué)[n]3. Pour ressusciter un NosMate (5 graines de pouvoir)[n]4. Pour abandonner une mission d'espace-temps (5 graines de pouvoir)[n][n]
zts640e	Pierre Gillion
zts641e	Cet objet doit être affiné avec du cellon et du cristal pour obtenir une gemme d'âme.[n] Pour l'affiner, achète un affineur et double-clique dessus. [n][n]
zts642e	Poudre Cella
zts643e	Nécessaire pour [n] 1. renforcer ton équipement[n] 2. améliorer tes gemmes d'âme, Cellons et Cristaux.[n][n]
zts644e	Gemme d'âme
zts645e	Cet objet sert à améliorer l'équipement[n]de +1 à +5.
zts646e	Gemme d'âme entière
zts647e	Cet objet sert à améliorer l'équipement[n]de +6 à +10.
zts648e	Cellon de niveau 1
zts649e	Ajoute option Lv. 1 aux accessoires
zts650e	Cellon de niveau 2
zts651e	Cet objet ajoute une option de niveau 2 au bijou.
zts652e	Cellon de niveau 3
zts653e	Cet objet ajoute une option de niveau 3 au bijou.
zts654e	Cellon de niveau 4
zts655e	Cet objet ajoute une option de niveau 4 au bijou.
zts656e	Cellon de niveau 5
zts657e	Cet objet ajoute une option de niveau 5 au bijou.
zts658e	Cellon de niveau 6
zts659e	Cet objet ajoute une option de niveau 6 au bijou.
zts660e	Cellon de niveau 7
zts661e	Cet objet ajoute une option de niveau 7 au bijou.
zts662e	Cellon de niveau 8
zts663e	Cet objet ajoute une option de niveau 8 au bijou.
zts664e	Cellon de niveau 9
zts665e	Cet objet ajoute une option de niveau 9 au bijou.
zts666e	Cellon de niveau 10
zts667e	Cet objet ajoute une option de niveau 10 au bijou.
zts668e	Sable de la rivière Dona
zts669e	Essentiellement demandé pour produire différents objets [n][n]
zts670e	Cristal de la nouvelle lune
zts671e	Utilisé dans le Mini-pays[n]Peut être cassé en morceaux de cristal[n]Utilise [pierre précieuse, cellon ou outils de fabrication de cristal][n][n]
zts672e	Cristal de demi-lune
zts673e	Cet objet sert à améliorer des objets.[n][n]
zts674e	Cristal de pleine lune
zts675e	Pièce de cristal rouge
zts676e	Nécessaire à la production de divers objets.[n][n]
zts677e	Pièce bleu de cristal
zts678e	Pièce blanche de cristal
zts679e	Pièce noire de cristal
zts680e	Outil pour aventurier
zts681e	Produit des objets que seul l'aventurier peut utiliser. [n] Double clique dessus [n] et une liste apparaîtra. [n][n]
zts682e	Affineur de gemme d'âme
zts683e	Utilise des pierres Gillion pour obtenir de la poudre Cella et des gemmes d'âme.[n]La poudre Cella et les gemmes d'âme sont utilisées pour améliorer les armes et armures.[n]Double-clique dessus pour l'utiliser.[n][n]
zts684e	Affineur de cellon
zts685e	Utilise une pierre Gillion pour obtenir de la poudre Cella et du cellon.[n]La poudre Cella s'emploie pour améliorer les armes et armures.[n]Le cellon s'emploie pour ajouter des options aux accessoires.[n]Double-clique pour l'utiliser.[n][n]
zts686e	Affineur cristal
zts687e	Utilise une pierre Gillion pour obtenir de la poudre Cella et du cristal.[n]La poudre Cella s'emploie pour améliorer les armes.[n]Le cristal est utilisé au Mini-pays et pour la production.[n]Double-clique pour l'utiliser.[n][n]
zts688e	Outil pour Épéistes
zts689e	Les Épéistes s'en servent pour produire des objets.[n]Double-clique dessus pour afficher la liste.[n][n]
zts690e	Outil de production pour archer.
zts691e	Produit des objets que seul un archer peut utiliser. [n] Double clique dessus [n] et une liste apparaîtra. [n][n]
zts692e	Outil de production pour sorcier
zts693e	Produit des objets que seul un sorcier peut utiliser. [n] Double clique dessus [n] et une liste apparaîtra. [n][n]
zts694e	Boîte ordinaire
zts695e	Boîte luxurieuse
zts696e	Boîte secrète
zts697e	Levier (activé)
zts698e	Or
zts699e	Outil pour accessoires
zts700e	Produit différents accessoires. [n] Double clique dessus et une liste apparaîtra.  [n][n]
zts701e	Boule de cristal mystérieuse (éteinte)
zts702e	Boule de cristal mystérieuse (allumée)
zts703e	Boîte bonus
zts704e	Bouton (non utilisé)
zts705e	Bouton (utilisé)
zts706e	Levier en bois (Avant)
zts707e	Levier en bois (Après)
zts708e	Sculpture diabolique (non utilisé)
zts709e	Sculpture diabolique (utilisé)
zts710e	Clé scellée
zts711e	Matériaux de recherche de Duke
zts712e	Ce sont les matériaux que le sorcier légendaire étudiait.[n]Personne ne sait à quoi ils servent.[n][n]
zts713e	Artefact
zts714e	L'attaque est renforcée.
zts715e	Augmente pouvoir de défense
zts716e	La défense d'attaque rapprochée est renforcée.
zts717e	Augmente défense lointaine
zts718e	La défense magique est renforcée.
zts719e	MP infini
zts720e	Énergie super
zts721e	Guérit tout
zts722e	Boîte casuelle
zts723e	Renaissance NosMate
zts724e	Accélération
zts725e	Bouclier puissant
zts726e	Outil pour pierres précieuses
zts727e	Cet objet permet une amélioration parfaite pour la gemme d'âme, et une amélioration du cellon de chaque niveau.[n]Une amélioration du cristal est possible.[n][n]
zts728e	Outil de production pour matériaux écrus
zts729e	Bonifie la qualité des matériaux écrus, [n] comme les barres de métal, de bois, les tissus et les cuir. [n][n]
zts730e	Capsule de guérison
zts731e	Clique Mini-pays
zts732e	Potion de récupération géante
zts733e	Carte spéciale
zts734e	Chargeur à point spécial
zts735e	Augmente de 10 000 tes points de spécialiste[n][n]
zts736e	Rechargeur de points de pays
zts737e	Pierre Quick Time
zts738e	Panier de piquenique
zts739e	Jusqu'à 3 personnes peuvent danser.[n][n]
zts740e	Barbecue
zts741e	Jusqu'à 8 personnes peuvent danser.[n][n]
zts742e	Outil de production de gants et chaussures
zts743e	Petit panneau indicateur
zts744e	Pose le à NosVille pour laisser entrer d'autres joueurs dans ton Mini-pays. [n] A l'air un peu miteux. [n][n]
zts745e	Grand panneau indicateur
zts746e	Pose le à NosVille pour faire entrer d'autres joueurs dans ton Mini-pays. [n] Il est beau et a la forme d'une maison. [n][n]
zts747e	Fleur à son sauvage
zts748e	Fleur à son
zts749e	Lance la Quête des fleurs à son [n][n]
zts750e	Récompense en or
zts751e	Après achèvement de la quête, tu peux obtenir une certaine quantité d'or. [n][n]
zts752e	Récompense d'EXP
zts753e	Après achèvement de la quête, tu peux obtenir une certaine quantité de points d'expérience. [n][n]
zts754e	Récompense : expérience de Métier
zts755e	Après achèvement de la quête, tu peux obtenir une certaine quantité de points d'expérience de métier. [n][n]
zts756e	Récompense de réputation
zts757e	Après achèvement de la quête, tu peux obtenir une certaine quantité de points de réputation. [n][n]
zts758e	Morceau d'espace-temps (groupe)
zts759e	Double-clique pour vérifier la mission.[n][n]
zts760e	Morceau d'espace-temps (individuel)
zts761e	Double-clique pour vérifier la mission.[n][n]
zts762e	Morceau d'espace-temps (raid)
zts763e	Morceau d'espace-temps (chasse)
zts764e	Morceau d'espace-temps (labo)
zts765e	Points bonus
zts766e	Boîte à énigmes
zts767e	Plume de poule
zts768e	Cuby bleu
zts769e	Crâne désert
zts770e	Troupes Araignée-Part 2
zts771e	Cet espace-temps permet d'obtenir le sceau de l'araignée noire géante.[n]Niveau recommandé : 60-69[n]Tu peux entrer immédiatement.[n][n]
zts772e	Costume de Bob
zts773e	Clique le partenaire, et double clique la peau [n] Donne une belle apparence. [n] La vitesse du partenaire augmente de 2 [n] Fais attention de ne pas la garder dans la perle, [n] autrement la peau disparaît [n][n]
zts774e	Entrave du passé - Part 2
zts775e	Cet espace-temps permet d'obtenir le sceau de ginseng.[n]Limite de niveau : 40-49.[n]Avec cet objet, tu peux immédiatement entrer dans l'espace-temps.[n][n]
zts776e	Entrave du passé - Part 3
zts777e	Gâteau
zts778e	Gâteau de l'Action de grâce. [n]Récoltes-en 10 et apporte-les à Mimi Mentor pour recevoir un trésor.[n][n]
zts779e	N (évènement)
zts780e	Cet objet augmente les HP et MP de 2 000.[n]Si tu ramasses tous les objets évènementiels N.O.S, tu obtiens un paquet-cadeau.[n]Cet objet disparaîtra à la fin de l'évènement.[n](L'évènement se termine le 21 novembre.)[n][n]
zts781e	O (évènement)
zts782e	Cet objet augmente tes points d'EXP de 10 % pendant 10 minutes.[n](Lorsque ton personnage meurt, l'effet disparaît.)[n]Si tu ramasses tous les objets évènementiels N.O.S, tu obtiens un paquet-cadeau.[n]Cet objet disparaîtra à la fin de l'évènement.[n](L'évènement se termine le 21 novembre.)[n][n]
zts783e	S (évènement)
zts784e	Cet objet augmente ta force d'attaque de 20 % pendant 10 minutes.[n](Lorsque ton personnage meurt, l'effet disparaît.)[n]Si tu ramasses tous les objets évènementiels N.O.S, tu obtiens un paquet-cadeau.[n]Cet objet disparaîtra à la fin de l'évènement.[n](L'évènement se termine le 21 novembre.)[n][n]
zts785e	! (évènement)
zts786e	Si tu utilises les objets évènementiels N.O.S. individuellement,[n]tes points SP sont rechargés de 10 000[n]et tu obtiens un objet bonus.[n]Cet objet disparaîtra à la fin de l'évènement.[n](L'évènement se termine le 21 novembre.)[n][n]
zts787e	Résultats des recherches de Duke
zts788e	Personne ne comprend ce texte académique complexe.[n][n]
zts789e	Lys de pureté
zts790e	Carte de recharge instantanée pour SP
zts791e	Médaille d'Erenia
zts792e	[Effet principal][n]Chaque élément de ton équipement, et contenu important ou non de ton inventaire, augmente de 8 (soit 24 en tout).[n]Si tu utilises l'objet avec la médaille de l'aventurier,[n]l'augmentation sera de 32.[n][Effet supplémentaire][n]Le gain d'expérience au combat augmente jusqu'à 15 %.[n]Le gain d'expérience métier augmente de 15 %.[n]Le gain d'expérience de ton familier et de ton partenaire augmente aussi de 15 %[n](ou de 30 %, si tu utilises l'objet avec la médaille de l'aventurier).[n]Le gain de pièces d'or augmente de 20 %.[n]Le gain de réputation augmente de 20 %.[n][Attention][n]Une fois la durée écoulée, tu ne pourras plus prendre tous les objets de l'inventaire amélioré,[n]tu ferais donc mieux de ranger tes objets à l'avance.[n][n]
zts793e	Médaille de l'aventurier
zts794e	[Effet principal] [n] La taille d'équipement, stock majeur ou mineur sera augmenté de 4 respectivement, totalement de 12. [n] (Si tu l´utilises avec la medaille d'Erenia, il sera augmenté de 36) [n] [Effet supplémentaire:] [n] L'expérience de bataille augmentera de 15%.[n] L'expérience de travail augmentera de 15%. [n] Les points d'expérience de l'animal domestique et de son partenaire augmenteront de 15%. (Ils augmenteraient de 30%, si tu l'utilises avec la medaille d'Erenia) [Note] Si la période est terminée [n] tu ne peux pas prendre tous les objets [n] du stock augmenté, [n] alors tu ferais bien de mieux ranger tes objets par avance. [n][n]
